ver,size,count,b,avg,std,med,min,lower,upper
2,20,100,10,82.0,2.0,80.7,78.6,81.0,83.0
r,20,100,10,20.0,8.1,11.3,10.4,15.9,24.1
2,20,100,100,62.3,2.0,60.4,59.5,61.3,63.3
r,20,100,100,14.1,3.2,10.7,10.1,12.5,15.7
2,20,512,10,176.8,17.8,157.7,155.2,167.1,186.5
r,20,512,10,16.4,5.3,13.3,12.8,13.5,19.3
2,20,512,100,78.1,1.4,76.8,75.7,77.3,78.9
r,20,512,100,16.1,2.5,13.4,13.1,14.8,17.5
2,20,4096,10,782.9,13.0,774.0,763.4,775.3,790.6
r,20,4096,10,65.9,12.8,52.1,47.7,58.3,73.5
2,20,4096,100,156.6,4.3,152.4,150.9,154.1,159.2
r,20,4096,100,38.6,1.7,37.4,36.8,37.6,39.6
2,20,4096,1000,124.0,3.9,121.0,118.7,121.7,126.3
r,20,4096,1000,45.4,7.9,37.2,36.2,40.7,50.1
2,20,10000,10,2729.1,851.4,1782.2,1727.1,2172.9,3285.4
r,20,10000,10,1634.9,1388.8,134.7,118.7,727.6,2542.2
2,20,10000,100,340.1,64.9,273.3,264.9,297.7,382.5
r,20,10000,100,589.3,484.4,77.8,66.3,272.8,905.8
2,20,10000,1000,183.0,30.6,152.7,147.3,163.0,203.0
r,20,10000,1000,137.7,162.2,70.3,68.3,31.7,243.6
2,20,10000,10000,484.5,7.2,477.2,474.7,479.8,489.2
r,20,10000,10000,80.0,10.2,70.2,64.3,73.3,86.6
2,20,65536,10,11361.9,225.0,11284.2,10870.2,11195.2,11528.6
r,20,65536,10,444.1,21.8,427.1,414.3,428.0,460.3
2,20,65536,100,1359.6,23.5,1345.4,1319.1,1342.2,1377.0
r,20,65536,100,423.1,18.5,403.6,397.2,409.4,436.8
2,20,65536,1000,395.8,7.4,387.9,384.6,390.3,401.3
r,20,65536,1000,307.1,10.5,303.7,290.3,299.4,314.9
2,20,65536,10000,723.9,12.5,716.5,703.6,714.6,733.2
r,20,65536,10000,345.8,42.4,299.5,295.5,314.4,377.2
2,20,524288,10,94847.5,4964.1,94925.4,86266.5,90496.3,99198.8
r,20,524288,10,1888.8,321.3,1725.3,1688.8,1607.2,2170.4
2,20,524288,100,10489.5,138.9,10406.2,10257.3,10367.7,10611.3
r,20,524288,100,1760.7,62.9,1696.3,1672.0,1705.6,1815.9
2,20,524288,1000,2455.9,42.9,2434.8,2388.7,2418.3,2493.6
r,20,524288,1000,1710.6,7.2,1705.4,1699.2,1704.2,1716.9
2,20,524288,10000,2758.1,27.2,2742.7,2706.5,2734.3,2782.0
r,20,524288,10000,1707.5,6.7,1706.6,1692.9,1701.7,1713.4
2,20,524288,100000,3854.0,93.5,3778.5,3742.4,3772.0,3936.0
r,20,524288,100000,1713.3,25.2,1688.4,1675.0,1691.2,1735.4
2,20,1000000,10,180911.8,1922.1,182205.2,178168.0,178736.7,183086.8
r,20,1000000,10,3968.7,805.6,2982.1,2982.0,3057.1,4880.3
2,20,1000000,100,19682.6,37.7,19666.6,19627.9,19639.9,19725.3
r,20,1000000,100,3124.5,52.3,3063.2,3057.8,3065.3,3183.7
2,20,1000000,1000,4433.4,24.5,4404.2,4402.7,4405.7,4461.1
r,20,1000000,1000,3058.9,55.3,2996.8,2992.9,2996.3,3121.5
2,20,1000000,10000,4858.8,71.6,4847.0,4737.7,4777.8,4939.8
r,20,1000000,10000,3033.2,9.3,3028.0,3025.3,3022.6,3043.7
2,20,1000000,100000,5151.5,380.5,4885.1,4869.3,4720.9,5582.0
r,20,1000000,100000,2964.4,23.7,2954.8,2924.7,2937.5,2991.2
2,20,1000000,1000000,21935.1,24.8,21920.0,21908.5,21907.0,21963.1
r,20,1000000,1000000,2942.4,11.1,2940.9,2923.3,2929.9,2954.9
2,20,10000000,10,1842222.6,0.0,1842222.6,1842222.6,1842222.6,1842222.6
r,20,10000000,10,47395.7,0.0,47395.7,47395.7,47395.7,47395.7
2,20,10000000,100,204740.5,0.0,204740.5,204740.5,204740.5,204740.5
r,20,10000000,100,46334.1,0.0,46334.1,46334.1,46334.1,46334.1
2,20,10000000,1000,47119.4,0.0,47119.4,47119.4,47119.4,47119.4
r,20,10000000,1000,46500.7,0.0,46500.7,46500.7,46500.7,46500.7
2,20,10000000,10000,50830.8,0.0,50830.8,50830.8,50830.8,50830.8
r,20,10000000,10000,46878.7,0.0,46878.7,46878.7,46878.7,46878.7
2,20,10000000,100000,56899.5,0.0,56899.5,56899.5,56899.5,56899.5
r,20,10000000,100000,56070.6,0.0,56070.6,56070.6,56070.6,56070.6
2,20,10000000,1000000,88084.4,0.0,88084.4,88084.4,88084.4,88084.4
r,20,10000000,1000000,56584.8,0.0,56584.8,56584.8,56584.8,56584.8
2,20,10000000,10000000,436310.4,0.0,436310.4,436310.4,436310.4,436310.4
r,20,10000000,10000000,56324.0,0.0,56324.0,56324.0,56324.0,56324.0
