ver size count b avg std med min lower upper
2 1152 100 10 12071.1600 3453.5583 11385.5990 6139.9400 10323.4184 13818.9016
r 1152 100 10 109.3360 8.1871 101.4800 97.4210 105.1928 113.4792
2 1152 100 100 5358.8607 876.0616 4632.9180 3857.3700 4915.5123 5802.2090
r 1152 100 100 305.3820 205.9975 86.9640 78.0220 201.1329 409.6311
2 1152 512 10 5215.6270 1335.3560 3751.5790 3660.8580 4489.7192 5941.5348
r 1152 512 10 133.8290 34.8478 98.1810 89.2340 114.8855 152.7725
2 1152 512 100 6679.2129 2259.5361 4249.5880 4078.6880 5450.9151 7907.5107
r 1152 512 100 117.9980 22.3454 95.3230 83.2880 105.8509 130.1451
2 1152 4096 10 21994.0332 13727.5286 6503.3280 6269.1920 13881.5822 30106.4842
r 1152 4096 10 198.1800 52.7499 151.7500 123.7000 167.0068 229.3532
2 1152 4096 100 6037.1681 1583.2375 4555.1270 4438.2170 5101.5345 6972.8017
r 1152 4096 100 255.5265 94.7257 165.8400 124.2050 199.5471 311.5058
2 1152 4096 1000 9597.0574 1198.8802 8143.7480 7854.4800 8888.5644 10305.5503
r 1152 4096 1000 280.2980 120.1140 150.4050 137.5860 209.3152 351.2808
2 1152 10000 10 16849.1950 4279.7871 12058.0360 10927.2510 14053.0674 19645.3226
r 1152 10000 10 273.1690 37.1932 231.9130 227.4900 248.8695 297.4685
2 1152 10000 100 7800.0810 1987.3336 5626.0460 5054.4180 6501.6897 9098.4723
r 1152 10000 100 252.8871 16.4079 240.1330 224.8390 242.1673 263.6070
2 1152 10000 1000 8333.5842 110.6747 8234.1250 8116.6580 8261.2768 8405.8917
r 1152 10000 1000 330.1390 100.3952 223.9020 216.0090 264.5475 395.7305
2 1152 10000 10000 55587.1491 2278.4384 53261.2420 52439.3760 54098.5694 57075.7289
r 1152 10000 10000 1063.6109 808.6025 236.2390 224.0050 535.3239 1591.8978
2 1152 65536 10 107023.0260 40356.4864 67137.7320 51395.4430 77126.5225 136919.5295
r 1152 65536 10 2305.6990 1248.7205 974.9220 873.3690 1380.6339 3230.7641
2 1152 65536 100 12627.5104 2273.4929 10224.4090 9825.0670 10943.2833 14311.7375
r 1152 65536 100 930.1723 84.7551 859.0000 850.6880 867.3848 992.9598
2 1152 65536 1000 11663.5294 1239.6590 10186.8800 9939.9410 10745.1772 12581.8817
r 1152 65536 1000 883.6209 31.6866 852.5770 839.3100 860.1471 907.0947
2 1152 65536 10000 59702.5880 1247.9961 58350.2640 58180.6910 58778.0595 60627.1165
r 1152 65536 10000 982.8471 121.1663 856.1440 832.7710 893.0859 1072.6084
2 1152 524288 10 402044.0906 12227.9489 395334.6990 380830.9340 391325.8208 412762.3604
r 1152 524288 10 10509.3980 1758.1899 9042.2270 8003.2780 8968.2766 12050.5194
2 1152 524288 100 61327.1810 1579.8930 60738.6570 58444.0900 59942.3437 62712.0183
r 1152 524288 100 9682.8060 1248.2732 8197.3880 7989.7810 8588.6463 10776.9657
2 1152 524288 1000 23931.9230 1180.5324 22738.7490 22100.2650 22897.1407 24966.7053
r 1152 524288 1000 8046.7902 77.1810 7991.8580 7909.1640 7979.1381 8114.4423
2 1152 524288 10000 72571.5786 355.1216 72151.0850 72118.4790 72260.3008 72882.8564
r 1152 524288 10000 11225.2726 3041.0503 7677.7550 7559.1150 8559.6745 13890.8707
2 1152 524288 100000 414251.3812 5355.7129 410139.9010 407267.9130 409556.8919 418945.8705
r 1152 524288 100000 8236.6188 477.5072 7884.1550 7708.3130 7818.0653 8655.1723
2 1152 1000000 10 728854.5793 18009.2230 708893.0940 707061.9150 708475.2250 749233.9336
r 1152 1000000 10 16538.1457 1056.7663 16062.2740 15549.1780 15342.3020 17733.9893
2 1152 1000000 100 109336.1707 1986.1171 108328.6120 107569.3530 107088.6676 111583.6737
r 1152 1000000 100 15523.4937 68.8144 15493.7960 15420.2490 15445.6228 15601.3645
2 1152 1000000 1000 32107.0637 272.8537 32268.0910 31722.8620 31798.3006 32415.8268
r 1152 1000000 1000 15658.6090 88.6081 15604.6890 15514.9190 15558.3395 15758.8785
2 1152 1000000 10000 78344.2980 104.9633 78287.7450 78171.5160 78225.5209 78463.0751
r 1152 1000000 10000 16106.9400 430.3625 16000.6940 15369.1410 15619.9390 16593.9410
2 1152 1000000 100000 427806.4640 714.5418 427342.3280 426682.8840 426997.8839 428615.0441
r 1152 1000000 100000 17925.7963 2228.5633 15512.3420 15231.3990 15403.9396 20447.6531
2 1152 1000000 1000000 3462200.7720 18982.3918 3463989.4190 3438109.5230 3440720.1736 3483681.3704
