ver n avg stddev med min lower upper
c 1 2.73 0.44 2.30 2.11 2.55 2.90
r 1 98.53 95.24 0.89 0.00 60.30 136.76
c 10 3.27 0.48 2.76 2.50 3.08 3.47
r 10 1.46 0.41 1.12 0.00 1.30 1.63
c 20 5.75 3.00 2.71 2.46 4.55 6.96
r 20 1.68 0.56 1.09 0.00 1.45 1.90
c 200 5.14 0.86 4.23 4.02 4.79 5.48
r 200 3.05 0.60 2.66 0.00 2.81 3.30
c 400 7.69 1.40 6.23 5.92 7.13 8.25
r 400 5.46 1.29 4.44 0.00 4.94 5.98
c 4000 31.07 2.76 28.49 26.76 29.96 32.18
r 4000 93.00 56.53 36.37 0.00 70.31 115.69
c 8000 58.65 11.13 46.36 45.50 54.18 63.12
r 8000 73.41 12.14 70.45 0.00 68.53 78.28
c 80000 832.49 318.80 483.53 418.30 704.54 960.45
r 80000 997.08 237.90 786.99 0.00 901.59 1092.56
c 160000 1765.33 632.67 1068.05 904.88 1511.40 2019.26
r 160000 2141.95 499.68 1735.44 0.00 1941.39 2342.50
c 1600000 20770.61 5292.42 15153.58 14623.62 18646.41 22894.80
r 1600000 22117.71 4275.05 19366.14 0.00 20401.85 23833.58
c 3200000 32980.01 2745.80 29996.14 29736.08 31877.94 34082.09
r 3200000 38930.59 6108.61 38460.01 0.00 36478.79 41382.38
c 32000000 347166.91 36663.50 307928.06 300299.42 332451.41 361882.42
r 32000000 393824.18 62365.87 386316.85 0.00 368792.60 418855.75
